,service,qnt,cnt
324,Netflix,Satish Shah,11
323,Netflix,Frank Grillo,11
322,Disney,Dove Cameron,11
321,Netflix,Sean Bean,11
371,Netflix,Keegan-Michael Key,11
344,Netflix,Julia Roberts,11
327,Netflix,Tusshar Kapoor,11
346,Prime,Grant Withers,11
359,Prime,Dhanush,11
370,Netflix,Ryohei Kimura,11
347,Netflix,Patrick Warburton,11
369,Netflix,Kaito Ishikawa,11
368,Disney,Tom Hanks,11
367,Prime,Nivetha Thomas,11
365,Netflix,Anthony Mackie,11
364,Netflix,Lucy Liu,11
363,Netflix,Anthony Anderson,11
362,Netflix,Mark Hamill,11
361,Prime,Sathish,11
360,Netflix,Sathyaraj,11
366,Netflix,Alec Baldwin,11
358,Netflix,Keanu Reeves,11
352,Netflix,Rob Schneider,11
349,Prime,Akshay Kumar,11
357,Netflix,Toshiyuki Morikawa,11
348,Prime,Goundamani,11
350,Netflix,Koichi Yamadera,11
351,Prime,Earl Dwire,11
353,Netflix,Viola Davis,11
354,Netflix,James Cromwell,11
355,Prime,John Rhys-Davies,11
356,Netflix,Mario Casas,11
527,Prime,Sam Neill,10
533,Netflix,Topher Grace,10
528,Netflix,Paul Schrier,10
526,Prime,Christopher Plummer,10
529,Prime,Ray Liotta,10
530,Netflix,Ramya Krishnan,10
531,Netflix,James Remar,10
532,Netflix,Supriya Pathak,10
537,Prime,Jagapathi Babu,10
534,Netflix,M・A・O,10
535,Netflix,Eddie Marsan,10
536,Netflix,Tim Blake Nelson,10
538,Netflix,Vivek Oberoi,10
539,Netflix,Kate Walsh,10
540,Netflix,Cam Clarke,10
524,Netflix,Jennifer Garner,10
541,Netflix,Louis Koo,10
525,Netflix,Reina Ueda,10
512,Netflix,Romi Park,10
523,Netflix,Terrence Howard,10
513,Netflix,Beverly Naya,10
543,Netflix,Mike Vogel,10
506,Netflix,Sam Neill,10
507,Netflix,Lake Bell,10
508,Netflix,Taylor Lautner,10
509,Netflix,Zach Galifianakis,10
510,Netflix,Kurt Russell,10
511,Netflix,Lena Headey,10
514,Prime,Richard Hammond,10
522,Prime,Om Nom,10
515,Netflix,Sardar Sohi,10
516,Netflix,Neil Patrick Harris,10
517,Netflix,Zakir Hussain,10
518,Netflix,Vera Farmiga,10
519,Netflix,Andy Richter,10
520,Netflix,Kim Coates,10
521,Netflix,Jide Kosoko,10
542,Prime,Salman Khan,10
569,Prime,Radha Ravi,10
544,Netflix,Kappei Yamaguchi,10
574,Netflix,Colin Farrell,10
566,Netflix,Will Arnett,10
567,Netflix,John Goodman,10
568,Prime,Shraddha Kapoor,10
570,Netflix,Russell Peters,10
571,Netflix,Nobunaga Shimazaki,10
572,Netflix,Shannon Chan-Kent,10
573,Netflix,Mikako Komatsu,10
575,Netflix,Dustin Hoffman,10
564,Netflix,Mukesh Tiwari,10
576,Netflix,Kohsuke Toriumi,10
577,Netflix,Helena Bonham Carter,10
578,Netflix,Nolan North,10
579,Netflix,Jada Pinkett Smith,10
580,Netflix,Luis Guzmán,10
581,Prime,James Cromwell,10
504,Prime,Pankaj Tripathi,10
565,Netflix,Hiroki Yasumoto,10
563,Netflix,Bayoumi Fouad,10
545,Netflix,Chris O'Dowd,10
553,Netflix,Brijendra Kala,10
546,Prime,Tara Reid,10
547,Netflix,Jason Isaacs,10
548,Netflix,Teresa Gallagher,10
549,Netflix,Johnny Lever,10
550,Netflix,Yuri Lowenthal,10
551,Prime,Mehreen Pirzada,10
552,Netflix,Cameron Diaz,10
554,Prime,Srikanth,10
562,Netflix,Jeff Bennett,10
555,Netflix,Luke Wilson,10
556,Netflix,Maria Bello,10
557,Prime,Rajinikanth,10
558,Netflix,Raj Babbar,10
559,Netflix,Luis Tosar,10
560,Prime,Nagesh,10
561,Netflix,Cezmi Baskın,10
505,Netflix,Prakash Raj,10
457,Netflix,Anthony Hopkins,10
503,Netflix,Neha Dhupia,10
454,Prime,Tom Sizemore,10
447,Netflix,Kevin Corrigan,10
448,Netflix,Mohammed Tharwat,10
449,Disney,Dave Goelz,10
450,Prime,Billy Zane,10
451,Prime,Jean-Claude Van Damme,10
452,Prime,Tom Wilkinson,10
453,Netflix,Nat Faxon,10
455,Netflix,John Carroll Lynch,10
445,Netflix,Anna Kendrick,10
456,Prime,Danny DeVito,10
426,Netflix,Manav Kaul,10
458,Netflix,Prem Chopra,10
459,Netflix,Kalki Koechlin,10
460,Prime,Dean Cain,10
461,Netflix,Segun Arinze,10
462,Disney,Ashley Tisdale,10
446,Netflix,Jon Lovitz,10
444,Netflix,Greg Kinnear,10
464,Disney,Clarence Nash,10
433,Netflix,Grey DeLisle,10
502,Netflix,Reza Rahadian,10
427,Netflix,Rahul Bose,10
428,Netflix,Natalie Dormer,10
429,Prime,John Leguizamo,10
430,Netflix,Zoe Saldana,10
431,Netflix,Sonali Kulkarni,10
432,Prime,Anandaraj,10
434,Netflix,Oprah Winfrey,10
443,Netflix,Ali Nuhu,10
435,Netflix,Kazuyuki Okitsu,10
436,Netflix,Sonam Kapoor,10
437,Netflix,Chie Nakamura,10
438,Netflix,Idris Elba,10
439,Netflix,David Harbour,10
440,Netflix,Nick Offerman,10
442,Prime,Arya,10
463,Netflix,Preity Zinta,10
441,Netflix,Alan Cumming,10
465,Netflix,Nicole Kidman,10
493,Netflix,Atul Kulkarni,10
486,Disney,Scarlett Johansson,10
487,Prime,John Goodman,10
488,Netflix,Shraddha Kapoor,10
489,Prime,Josh Lucas,10
490,Netflix,Bruce Dern,10
491,Netflix,Amy Poehler,10
492,Netflix,Janeane Garofalo,10
495,Netflix,Jane Lynch,10
484,Prime,Mary Steenburgen,10
496,Netflix,Joke Silva,10
497,Netflix,Karamjit Anmol,10
498,Netflix,Amrita Rao,10
499,Hulu,J. Michael Tatum,10
500,Netflix,Manoj Pahwa,10
466,Netflix,Adesua Etomi,10
501,Netflix,Shreyas Talpade,10
485,Netflix,Donnie Yen,10
494,Netflix,Patrick Wilson,10
483,Netflix,Yukari Tamura,10
467,Netflix,Jonah Hill,10
468,Disney,Trevor Devall,10
482,Netflix,Tamannaah Bhatia,10
469,Netflix,Alia Shawkat,10
470,Netflix,Christopher Meloni,10
471,Netflix,Rebecca Shoichet,10
473,Netflix,Emraan Hashmi,10
474,Netflix,Arshad Warsi,10
472,Prime,Sathyaraj,10
475,Prime,Samuel L. Jackson,10
477,Netflix,David Oyelowo,10
478,Netflix,Ewan McGregor,10
479,Netflix,Hrithik Roshan,10
480,Netflix,T.J. Miller,10
476,Prime,Vincent Price,10
481,Netflix,Benedict Cumberbatch,10
709,Netflix,Sam Worthington,9
717,Netflix,Frank Welker,9
716,Prime,Mickey Rourke,9
715,Netflix,Michael Stuhlbarg,9
712,Prime,Sharat Saxena,9
714,Netflix,Paul Bettany,9
713,Netflix,Chris Pine,9
711,Prime,Peter Coyote,9
719,Netflix,Kunal Kapoor,9
718,Netflix,Frank Langella,9
726,Netflix,Richard Jenkins,9
720,Netflix,Maudy Koesnaedi,9
721,Netflix,Manu Rishi Chadha,9
722,Netflix,Bill Burr,9
723,Netflix,Bill Murray,9
724,Netflix,Giancarlo Esposito,9
725,Netflix,Cam Gigandet,9
727,Netflix,Pedro Casablanc,9
728,Netflix,Govind Namdeo,9
729,Netflix,Mike Colter,9
707,Prime,Vivica A. Fox,9
730,Netflix,Colm Feore,9
708,Netflix,Manish Chaudhary,9
689,Disney,Brenda Song,9
706,Netflix,Bassem Samra,9
705,Netflix,Jennifer Jason Leigh,9
732,Prime,John Vijay,9
684,Prime,Parineeti Chopra,9
685,Netflix,Bruce McGill,9
686,Prime,Richard Gere,9
687,Prime,Michael Gambon,9
688,Netflix,Randeep Hooda,9
690,Prime,Rishi Kapoor,9
691,Netflix,Vivica A. Fox,9
692,Netflix,Gillian Jacobs,9
693,Netflix,Joel McHale,9
694,Netflix,Shinichiro Miki,9
695,Netflix,Makrand Deshpande,9
696,Disney,Robert Downey Jr.,9
697,Netflix,Terence Stamp,9
698,Netflix,Mae Whitman,9
699,Netflix,Amanda Seyfried,9
700,Netflix,Kangana Ranaut,9
701,Netflix,Chloë Grace Moretz,9
702,Prime,Mitzi Gaynor,9
703,Netflix,Farida Jalal,9
704,Prime,Martin Sheen,9
731,Netflix,Rashida Jones,9
770,Prime,Rajendran,9
733,Prime,Steve Carell,9
682,Netflix,Jenny Slate,9
760,Netflix,John DiMaggio,9
761,Disney,Chris Evans,9
762,Prime,Jyothika,9
763,Disney,Chris Hemsworth,9
764,Netflix,Craig Robinson,9
765,Prime,Brian Cox,9
766,Netflix,Jim Gaffigan,9
767,Netflix,Kelsey Grammer,9
768,Prime,Thomas Kretschmann,9
769,Netflix,Cherami Leigh,9
771,Netflix,Martin Short,9
734,Netflix,Akio Otsuka,9
772,Prime,James Caan,9
773,Netflix,Sandra Oh,9
774,Netflix,Christopher Plummer,9
775,Prime,Thomas Jane,9
776,Prime,George Cleveland,9
777,Netflix,Catherine O'Hara,9
778,Netflix,Hugh Bonneville,9
779,Netflix,Jay O. Sanders,9
780,Disney,John Goodman,9
781,Prime,Danny Glover,9
759,Netflix,Haruka Tomatsu,9
758,Netflix,Rob Rackstraw,9
757,Netflix,Jake Gyllenhaal,9
756,Prime,Dennis Hopper,9
735,Netflix,Rob Corddry,9
736,Prime,Samuthirakani,9
737,Prime,Mammootty,9
738,Netflix,Uma Thurman,9
739,Netflix,Jim Cummings,9
740,Prime,Abhishek Bachchan,9
741,Netflix,Diedrich Bader,9
742,Prime,Antonio Banderas,9
743,Netflix,Kazuhiro Yamaji,9
744,Prime,Steve Buscemi,9
745,Netflix,Shawn Yue,9
746,Netflix,J.K. Simmons,9
747,Netflix,Scott Adkins,9
748,Netflix,Cathy Weseluck,9
749,Netflix,Michelle Yeoh,9
750,Netflix,Eri Kitamura,9
751,Netflix,Common,9
752,Prime,Laxmikant Berde,9
753,Prime,Rajesh Khanna,9
754,Netflix,Scoot McNairy,9
755,Disney,Tom Kenny,9
683,Prime,Aditi Rao Hydari,9
710,Netflix,Marc Maron,9
681,Netflix,Jack Whitehall,9
617,Netflix,Vir Das,9
607,Prime,Naveen Chandra,9
608,Netflix,Judi Dench,9
609,Netflix,Seth Green,9
610,Prime,Achyuth Kumar,9
611,Prime,Aruna Irani,9
612,Netflix,Gugu Mbatha-Raw,9
613,Netflix,Alexx Ekubo,9
614,Prime,Jim Gaffigan,9
615,Prime,Robert Patrick,9
616,Netflix,Yuhko Kaida,9
618,Netflix,Nicolas Aqui,9
630,Netflix,Kikuko Inoue,9
619,Netflix,Gurpreet Guggi,9
620,Netflix,Mary Elizabeth Winstead,9
621,Netflix,Rosamund Pike,9
622,Netflix,Kiernan Shipka,9
623,Disney,Josh Gad,9
624,Netflix,Adam Pally,9
625,Netflix,Sheeba Chaddha,9
626,Disney,John Fiedler,9
627,Prime,Jayaprakash,9
628,Netflix,Reema Lagoo,9
606,Netflix,Clancy Brown,9
605,Prime,Bruce Davison,9
604,Netflix,Michael Sheen,9
603,Netflix,Dakota Fanning,9
680,Netflix,Lotfy Labib,9
582,Netflix,Mahershala Ali,9
583,Prime,Jessica Biel,9
584,Netflix,Oscar Isaac,9
585,Netflix,Kevin Costner,9
586,Netflix,Satsuki Yukino,9
587,Netflix,Javed Jaffrey,9
588,Netflix,Ashley Greene,9
589,Netflix,Aishwarya Rai Bachchan,9
590,Netflix,Sola Sobowale,9
591,Netflix,Joross Gamboa,9
592,Netflix,Michael Douglas,9
593,Netflix,Toni Collette,9
594,Netflix,Jessica Alba,9
595,Netflix,Carlos Alazraqui,9
596,Netflix,Jennifer Coolidge,9
597,Netflix,Iliza Shlesinger,9
599,Netflix,Jennifer Ehle,9
600,Netflix,Mike Myers,9
601,Prime,Mohanlal,9
602,Netflix,Sacha Baron Cohen,9
629,Netflix,James Hong,9
598,Prime,Paz Vega,9
631,Prime,Thambi Ramaiah,9
668,Netflix,Keith Silverstein,9
658,Netflix,Bill Hader,9
659,Netflix,Salih Kalyon,9
660,Netflix,Wanda Sykes,9
661,Netflix,Deepak Dobriyal,9
662,Netflix,Koji Yusa,9
663,Prime,Saif Ali Khan,9
664,Netflix,George Lopez,9
665,Netflix,Lam Suet,9
666,Netflix,Ireti Doyle,9
667,Prime,Addison Holley,9
669,Netflix,Walton Goggins,9
656,Netflix,Salli Saffioti,9
671,Netflix,Ben Diskin,9
672,Netflix,Zachary Quinto,9
673,Netflix,Patricia Clarkson,9
674,Netflix,Andrew Bachelor,9
675,Netflix,Karisma Kapoor,9
676,Netflix,Danny Denzongpa,9
677,Netflix,Sam Rockwell,9
678,Netflix,Steve Blum,9
632,Netflix,Carmen Machi,9
679,Netflix,Gabriel Iglesias,9
657,Netflix,Daniel Padilla,9
670,Netflix,Stephen Tobolowsky,9
655,Prime,Toni Collette,9
644,Netflix,Alfre Woodard,9
634,Netflix,Vikram Gokhale,9
654,Netflix,Aubrey Plaza,9
635,Prime,Madan Puri,9
636,Netflix,Kristen Bell,9
637,Netflix,Murli Sharma,9
639,Netflix,Rajendranath Zutshi,9
640,Netflix,Thomas Jane,9
641,Netflix,Erica Lindbeck,9
642,Netflix,Tetsuya Kakihara,9
643,Netflix,Maria Bamford,9
638,Netflix,Leonardo DiCaprio,9
645,Prime,Liev Schreiber,9
650,Prime,Walter Brennan,9
653,Netflix,Parker Posey,9
